,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296
230,2017-05-28,9,30,34,21,13,26,18,28,24,41,21,33,27,2,34,8,0,0,70,18,40,32,60,24,26,22,45,31,13,32,0,0,0,0,0,0,0,0,0,42,12,0,53,34,36,0,40,0,31,0,38,0,0,65,19,68,35,62,0,0,55,43,0,0,0,0,46,19,0,33,0,28,24,48,23,32,27,36,0,0,0,35,35,33,0,0,12,0,0,32,43,26,0,0,0,0,60,11,0,0,0,0,33,0,0,78,15,0,0,37,4,49,0,27,0,0,23,0,51,37,18,49,46,25,0,25,0,33,30,0,0,0,0,0,29,28,23,0,0,37,0,0,19,0,0,46,0,0,42,0,0,37,50,44,17,49,0,14,40,20,0,30,0,51,26,38,7,3,17,0,37,60,4,31,23,33,42,36,31,64,74,27,0,12,27,25,22,9,16,35,24,0,16,27,16,34,9,12,0,20,31,0,0,0,23,0,52,32,13,0,12,0,0,23,37,35,0,0,0,0,80,0,27,38,37,0,0,0,0,0,32,0,40,0,0,0,0,50,0,74,35,0,44,0,78,0,32,0,27,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,47,0,0,37,0,20,46,0,0,30,16,25,44,34,49,58,35,21,24,22,36,30,0,34,47,0,0,0,0,0,0,0
231,2017-06-04,12,36,39,13,10,18,21,32,17,28,33,28,29,2,36,19,0,0,0,16,37,39,64,20,29,58,30,28,21,26,0,0,0,0,0,0,0,0,0,53,11,0,0,43,32,0,0,13,35,33,28,0,0,46,30,41,50,0,0,0,85,42,0,0,0,0,0,32,0,65,0,24,18,46,0,60,0,39,39,0,0,46,0,32,64,26,9,45,0,30,0,25,0,34,0,48,0,16,0,0,0,0,42,0,0,51,11,10,0,0,4,45,0,0,58,100,30,0,0,20,16,0,0,16,0,37,0,32,0,0,0,0,39,74,42,51,22,0,31,36,0,0,32,0,0,0,0,0,0,52,0,0,18,44,18,69,27,20,30,43,30,36,0,25,21,40,19,4,29,34,0,0,4,50,0,19,0,42,21,27,57,53,30,27,28,45,25,13,38,26,51,88,38,49,55,25,0,26,32,48,33,41,0,0,20,35,45,34,25,0,47,21,39,19,0,0,46,0,0,76,26,0,0,0,36,0,0,34,0,0,0,0,0,0,0,0,55,0,0,0,0,15,32,0,0,12,33,0,20,0,0,6,0,0,58,0,0,0,0,0,32,23,47,0,0,0,91,40,0,20,33,0,0,0,31,28,20,53,0,43,22,44,63,31,26,0,0,100,92,36,0,0,0,28,0,0
232,2017-06-11,13,33,39,5,10,40,25,31,22,37,34,65,15,2,25,11,0,0,0,13,69,40,49,35,65,18,17,12,26,32,0,0,0,0,0,0,46,0,0,43,11,67,73,26,63,0,0,13,0,0,0,0,34,51,15,41,40,0,34,0,52,21,0,0,0,0,0,0,0,0,0,25,31,0,0,55,26,39,0,0,85,0,0,32,0,31,16,18,0,42,0,48,0,0,74,0,0,5,0,0,34,0,76,0,0,38,8,0,0,37,3,20,0,27,59,0,0,0,0,31,25,48,0,13,0,0,0,0,0,0,0,0,0,28,33,24,16,0,0,0,0,0,0,0,0,31,0,0,31,0,0,48,14,43,17,26,27,21,29,35,32,18,30,32,13,32,23,2,19,0,73,0,4,58,0,19,0,39,15,50,44,54,30,16,17,25,14,13,17,0,27,0,28,34,14,67,9,16,0,38,22,63,41,0,23,58,57,25,26,26,12,18,34,28,0,0,54,0,0,0,0,40,0,37,0,42,0,45,49,0,18,0,0,0,81,0,0,0,0,0,0,15,27,0,38,0,45,0,28,0,0,7,61,0,80,16,0,0,0,16,0,23,0,0,0,0,35,50,0,0,50,0,0,26,17,24,56,0,0,58,31,24,38,33,27,44,43,42,35,0,0,0,100,0,36,0
233,2017-06-18,11,28,77,7,11,31,22,28,13,33,25,37,28,3,25,9,0,0,0,12,39,49,25,23,29,20,50,12,44,21,67,0,0,0,0,0,0,0,72,36,18,0,18,29,22,0,0,15,39,0,0,0,0,49,20,24,34,0,38,0,58,42,0,0,0,0,0,19,0,37,0,32,23,0,0,40,0,26,0,41,42,33,34,95,0,0,14,36,0,30,0,40,0,0,42,31,58,13,33,0,33,33,28,0,30,64,0,10,0,0,4,28,0,23,77,0,30,0,24,26,25,0,77,16,0,28,0,0,29,0,0,0,0,0,41,0,22,39,0,0,70,0,16,61,0,29,0,100,0,0,0,0,12,30,14,43,27,27,14,31,29,33,0,68,27,34,11,3,17,0,35,45,5,40,26,47,0,38,48,54,47,26,35,11,22,24,20,10,19,0,23,0,23,24,44,43,10,13,0,23,33,0,0,0,20,41,28,26,38,26,18,18,33,19,0,0,27,0,0,0,25,0,24,0,36,0,0,33,0,0,21,0,0,0,0,0,54,0,0,0,0,16,29,0,0,0,30,0,33,0,0,0,0,0,0,14,0,49,0,32,31,0,0,0,0,0,34,63,0,19,46,0,0,26,15,27,47,29,0,67,43,18,43,33,38,0,0,48,0,0,0,0,0,0,0,0
234,2017-06-25,12,16,57,12,10,35,26,31,22,28,34,43,27,2,43,9,0,30,0,13,58,48,22,38,27,35,29,17,22,22,0,0,0,0,0,0,0,0,0,37,11,0,43,20,27,0,30,15,55,0,0,0,0,62,13,48,30,42,34,0,53,43,0,0,0,0,0,0,0,33,0,67,21,0,0,27,0,28,39,37,32,47,35,44,0,0,18,25,0,23,0,62,0,0,58,43,0,9,90,0,0,0,33,0,0,52,11,13,0,49,5,20,0,0,0,0,0,0,25,25,20,0,47,15,0,25,0,33,0,67,0,0,0,29,25,56,32,30,0,0,0,0,0,0,0,31,0,0,55,0,0,38,22,47,24,28,0,24,26,36,0,34,47,40,37,12,22,3,18,0,0,73,3,48,21,19,0,49,29,42,66,0,0,13,0,46,23,14,10,0,36,30,22,35,28,26,27,12,0,10,28,43,0,0,12,40,40,29,33,0,25,25,0,40,0,0,0,0,0,59,27,0,33,0,0,0,0,0,100,0,20,0,0,0,0,0,0,0,21,0,0,36,28,0,39,0,29,0,36,0,0,6,82,0,61,0,0,0,0,17,43,34,0,0,0,0,0,67,0,0,61,0,0,30,16,29,0,40,37,69,45,37,33,29,31,30,0,19,0,0,0,0,0,29,0,0
235,2017-07-02,8,36,52,5,12,38,14,29,25,26,53,24,15,2,32,9,0,46,0,11,52,30,61,62,24,18,23,27,33,45,0,0,0,0,59,0,0,0,0,41,11,0,100,58,44,0,0,14,47,0,29,0,0,45,21,21,22,0,0,40,46,0,0,0,0,0,0,20,0,34,0,25,42,49,0,37,0,34,40,0,66,0,35,33,0,25,18,25,0,52,44,26,0,0,0,36,0,7,30,0,0,0,51,0,0,0,6,10,66,0,4,20,25,24,0,52,0,0,26,22,17,0,0,38,0,29,0,34,0,0,51,0,0,0,28,0,35,40,25,0,0,0,17,0,0,0,0,0,0,0,0,0,17,41,33,37,0,15,19,29,0,43,47,41,20,33,11,6,15,0,0,41,5,47,42,20,33,40,15,42,69,0,31,9,29,29,14,9,11,0,24,0,26,11,0,26,10,10,0,12,17,86,0,0,47,22,35,26,40,0,0,0,61,23,0,38,37,0,0,60,27,0,0,38,0,43,0,35,0,0,25,0,54,0,0,0,0,0,0,0,47,16,39,34,45,13,32,0,34,0,0,6,0,0,0,33,0,40,72,19,0,63,0,0,73,38,0,45,0,0,38,0,0,0,16,43,42,35,75,76,29,25,44,34,31,0,0,19,0,0,0,66,0,0,0,0
236,2017-07-09,10,21,46,5,9,40,27,31,18,31,29,53,44,3,21,10,0,60,0,14,65,40,52,84,34,12,34,17,32,15,0,0,0,0,0,0,40,0,0,53,12,40,32,34,30,0,0,18,36,0,39,0,0,51,13,22,38,0,59,38,55,32,0,0,0,0,0,19,0,33,0,28,40,0,0,24,0,31,40,0,0,34,60,33,0,24,21,33,0,53,44,28,53,0,0,0,0,12,29,29,0,70,58,0,0,56,10,0,0,0,6,20,0,20,0,0,0,0,0,21,11,0,0,34,0,0,0,0,0,0,50,0,0,25,45,42,21,40,0,43,54,0,0,0,0,33,0,0,0,0,0,0,34,40,31,28,28,28,23,52,30,37,26,66,19,38,23,5,14,0,37,0,5,46,30,21,0,36,23,56,53,30,46,11,23,0,14,8,12,27,24,0,28,25,24,52,12,9,33,14,26,56,0,0,20,40,35,32,18,0,25,19,0,0,36,39,0,0,0,0,0,0,0,0,74,0,0,0,0,0,37,60,40,0,0,0,0,0,0,0,0,0,45,0,66,13,54,0,27,0,0,0,0,0,0,38,0,0,0,17,0,27,56,0,0,0,40,62,0,0,46,0,0,27,0,33,26,30,37,75,27,45,54,26,54,0,0,16,35,0,0,0,25,0,50,65
237,2017-07-16,10,26,40,4,11,40,21,24,29,31,53,92,42,3,25,10,0,34,0,13,56,44,56,38,37,25,37,24,22,27,47,0,76,0,0,0,0,0,0,91,19,0,19,44,23,74,0,15,31,0,0,0,0,76,13,43,44,66,0,52,35,25,0,0,0,0,0,0,46,34,51,0,43,0,20,37,35,67,40,37,44,0,35,0,0,28,17,19,0,54,0,52,0,35,0,66,0,12,0,0,0,35,29,0,0,0,6,0,66,0,4,27,0,41,0,0,23,35,0,19,10,0,47,13,0,0,0,0,0,90,0,0,0,34,0,24,22,0,0,50,0,0,17,0,0,31,0,0,43,0,0,99,17,55,31,50,0,32,26,16,0,28,35,22,41,33,26,4,17,0,42,0,5,45,23,22,0,30,21,23,60,27,67,12,23,28,28,12,7,55,48,31,19,17,16,26,9,14,0,26,26,0,0,0,24,57,32,43,24,0,25,19,30,20,0,34,0,0,0,0,0,0,0,50,0,0,0,39,0,0,38,0,0,0,0,0,56,51,0,0,0,16,35,0,0,13,52,0,25,0,0,12,0,0,0,0,0,39,0,22,0,0,43,0,0,0,35,54,0,30,77,0,0,0,0,46,42,30,0,63,64,23,62,26,0,0,88,13,0,0,0,0,25,0,0,0
238,2017-07-23,11,26,68,6,13,44,22,27,31,23,44,80,21,4,43,9,68,22,0,23,78,40,81,52,40,20,25,26,37,22,39,0,0,0,0,0,0,0,0,68,11,0,53,47,40,0,0,0,31,27,38,0,0,24,13,21,32,0,0,0,27,23,0,0,0,0,34,33,0,36,0,24,56,48,26,82,48,53,0,36,55,46,0,0,65,24,8,53,38,50,0,46,0,0,0,32,0,10,32,0,45,0,33,0,0,38,8,10,64,0,5,48,0,23,59,0,0,39,0,18,11,0,46,32,0,37,0,0,30,0,66,0,43,25,25,24,14,0,0,0,0,0,0,0,58,45,68,0,0,53,0,37,14,48,22,27,0,42,11,28,30,46,23,29,26,67,19,5,16,0,39,0,11,44,30,19,0,39,28,28,58,46,30,10,24,28,40,8,4,35,32,33,22,22,20,29,10,12,0,23,34,0,55,0,34,45,17,24,24,0,12,21,30,29,0,34,31,81,0,0,0,0,33,0,0,0,0,34,0,0,25,0,0,0,61,0,0,0,0,0,0,0,25,0,0,17,34,0,32,0,0,6,0,0,0,14,0,0,0,22,0,35,0,0,0,0,0,34,0,49,47,0,0,0,31,49,27,40,0,64,28,36,37,29,0,60,0,12,35,38,0,0,0,0,0,0
239,2017-07-30,7,21,89,5,11,30,25,33,28,34,48,97,47,2,34,8,58,0,0,18,65,48,75,29,16,33,25,32,31,28,0,0,0,0,0,0,34,0,0,58,28,0,41,36,32,62,29,0,26,0,0,0,0,23,20,31,58,40,66,0,49,28,0,0,0,0,0,25,44,0,0,0,38,0,19,23,31,45,0,31,42,0,0,32,0,23,14,24,0,61,43,19,38,0,0,32,0,10,33,0,0,50,56,0,34,0,14,11,72,48,7,19,0,27,58,54,22,0,0,27,28,0,0,16,0,0,0,0,29,0,0,0,39,24,48,23,23,0,0,0,0,0,43,0,0,0,0,0,31,0,51,36,21,54,38,54,35,24,45,27,0,18,49,35,27,40,20,6,18,0,0,0,12,40,52,32,0,32,22,37,71,26,52,13,15,28,22,3,11,0,23,58,26,15,20,50,0,14,0,26,31,54,0,0,28,19,39,21,18,35,47,18,0,0,0,66,26,0,0,0,26,0,0,42,36,0,0,0,0,0,20,0,0,0,0,0,54,0,0,0,0,30,15,33,37,0,30,0,26,0,0,0,60,0,0,0,0,37,0,24,0,23,0,66,0,0,0,51,0,0,66,0,0,26,15,60,33,42,35,54,26,32,35,35,0,0,0,8,0,0,0,0,24,0,0,0
240,2017-08-06,9,22,71,16,14,24,30,25,15,52,40,55,16,1,40,5,0,0,0,16,45,35,68,30,29,13,19,18,38,32,0,0,0,0,0,0,45,0,0,47,11,0,18,23,51,0,0,0,26,0,0,0,0,43,11,41,42,35,0,100,34,31,0,0,0,0,0,25,43,32,0,0,26,0,0,40,23,18,51,31,0,0,0,0,0,23,9,18,0,49,57,53,0,0,0,0,0,9,0,0,0,50,0,0,0,37,15,19,0,0,10,38,23,0,0,49,0,0,0,30,14,0,0,20,0,27,0,0,29,0,0,0,39,0,48,0,43,38,0,0,0,0,0,0,0,29,0,0,0,0,0,0,12,53,28,68,0,15,20,39,59,26,38,19,18,47,21,3,19,0,53,0,10,46,20,27,0,26,20,28,65,0,0,9,13,0,24,9,12,0,35,0,32,36,54,62,9,10,0,27,17,0,54,0,22,43,28,15,13,0,12,18,29,0,46,0,0,0,0,0,25,0,0,0,36,0,0,0,0,0,18,58,38,0,0,0,40,0,0,0,0,17,29,0,85,0,16,0,29,0,0,6,0,0,0,14,0,0,0,0,0,23,40,0,34,0,0,77,0,21,53,35,0,51,17,35,53,33,0,66,15,27,37,26,38,0,0,10,0,0,0,0,24,0,0,0
241,2017-08-13,8,14,56,9,8,34,24,23,9,25,32,29,26,1,36,8,0,0,0,14,42,19,54,52,63,34,58,21,31,21,0,86,97,0,0,0,0,0,0,52,18,0,72,39,39,0,0,13,35,0,0,0,0,50,15,41,13,0,0,0,25,28,0,48,0,0,0,32,0,56,67,24,20,47,26,0,0,39,0,31,0,34,34,0,0,0,12,26,76,50,0,27,0,0,0,32,0,10,0,0,0,25,0,0,40,0,16,0,0,0,4,48,24,27,78,0,0,34,28,0,19,0,67,26,0,0,43,32,29,0,56,0,0,24,56,20,54,0,0,36,0,0,16,0,0,29,0,0,0,0,0,0,16,44,20,71,29,31,32,43,29,25,0,25,21,46,13,3,19,0,36,0,7,45,20,41,0,35,19,59,78,0,35,10,28,28,19,10,18,35,43,0,23,32,23,25,9,14,32,18,14,82,41,35,28,26,31,25,0,0,12,18,0,58,0,66,0,0,0,0,0,54,42,42,0,0,0,0,0,0,18,0,0,0,0,0,41,0,0,0,0,15,21,33,41,0,39,0,21,0,0,8,0,0,0,14,0,0,0,0,0,23,0,0,0,0,0,29,0,19,28,0,0,0,16,24,37,44,0,51,18,44,25,24,30,29,0,18,34,38,0,0,73,0,36,0
242,2017-08-20,10,22,69,11,10,25,14,32,13,22,28,32,28,2,18,10,58,0,0,12,48,32,42,20,19,17,16,39,31,16,0,0,0,0,0,61,0,0,0,44,11,0,45,23,32,0,0,19,0,0,28,0,0,30,20,46,21,35,33,37,51,73,0,0,0,0,0,20,0,37,0,0,30,0,0,35,46,32,38,31,34,34,0,32,0,23,14,0,50,23,0,50,50,0,0,31,0,11,57,0,0,29,32,0,0,100,12,10,0,0,8,40,32,0,58,0,0,0,0,0,11,0,0,38,24,0,0,0,0,0,0,0,0,42,0,20,57,49,0,0,0,0,0,45,0,29,0,0,0,0,51,0,32,40,32,71,0,18,21,23,0,35,0,34,17,40,9,4,23,0,35,34,7,49,0,28,0,44,28,54,67,45,0,9,29,24,15,7,13,34,40,29,20,34,39,50,0,14,32,19,38,0,0,0,28,38,33,28,14,26,23,0,29,0,0,33,61,0,0,57,0,0,0,36,0,0,0,0,0,0,18,0,0,0,0,0,0,65,0,0,0,15,32,0,0,14,35,0,24,0,0,6,80,0,58,23,0,0,0,0,62,26,54,0,0,0,0,40,34,0,42,0,0,28,15,48,46,67,0,61,33,48,37,32,0,29,0,20,34,0,0,0,0,38,0,0
243,2017-08-27,7,19,50,14,12,28,25,25,19,29,38,42,28,1,43,12,0,21,0,16,51,31,33,50,33,21,19,34,31,56,0,0,0,0,0,0,68,0,0,40,11,44,20,33,44,36,0,22,0,33,0,0,0,53,17,24,26,0,0,38,39,36,0,0,0,0,0,37,0,0,0,0,42,0,0,58,70,32,58,0,0,0,0,32,0,0,17,40,0,27,0,35,51,0,0,0,0,9,0,0,0,38,38,0,0,37,8,0,0,36,6,28,24,0,0,0,22,45,0,0,23,0,45,24,0,28,36,32,30,65,49,0,0,65,32,22,27,29,0,0,0,0,0,0,0,39,0,0,41,59,0,36,61,55,24,83,26,25,34,27,29,36,33,39,29,37,25,4,32,0,40,35,8,37,26,54,31,41,25,36,75,26,26,10,13,0,17,10,8,26,23,59,15,29,34,100,9,19,0,28,44,0,0,0,28,65,28,27,13,35,24,36,0,21,0,100,35,0,46,0,25,0,0,0,0,41,0,57,0,0,18,0,0,0,0,0,0,0,0,0,33,22,24,33,64,12,55,0,14,0,0,6,0,0,0,15,0,0,0,23,0,45,41,0,34,0,0,38,47,45,36,0,0,0,15,24,67,43,48,47,44,28,33,36,39,0,0,15,0,37,0,0,24,0,0,0
244,2017-09-03,6,23,60,10,20,41,25,17,17,23,32,59,28,2,40,8,0,64,0,16,82,38,58,60,39,21,32,21,38,26,33,0,0,0,0,0,0,0,0,49,12,38,45,29,22,95,0,17,0,0,28,0,33,33,13,45,57,0,0,0,55,24,0,0,0,0,0,21,0,32,49,35,50,0,0,53,23,51,66,31,31,33,67,31,0,23,12,44,0,47,41,43,0,49,0,36,0,6,38,0,44,28,32,0,0,64,5,0,62,35,10,25,26,0,57,48,0,33,28,32,20,0,43,36,0,0,0,0,0,0,0,0,44,41,32,0,25,49,23,0,0,0,0,0,55,29,0,0,60,51,0,0,21,44,33,0,0,40,18,23,0,24,44,21,31,27,9,2,21,0,52,0,7,69,19,18,0,25,20,40,40,26,0,11,25,0,19,10,9,0,34,0,21,17,40,33,15,13,0,22,37,0,0,0,20,43,50,20,29,29,40,26,29,19,0,32,26,0,0,0,25,39,24,0,0,40,58,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,29,0,0,12,27,0,18,0,0,8,0,0,0,0,0,0,0,16,31,0,54,0,0,0,0,52,0,44,48,0,0,38,15,36,40,49,47,54,28,31,44,32,28,0,41,38,39,0,0,0,0,28,0,0
245,2017-09-10,6,29,38,9,19,26,16,23,17,25,37,59,15,3,34,13,0,24,0,12,50,24,57,45,35,21,16,11,40,24,33,0,0,0,0,0,0,0,0,54,10,43,76,41,47,0,0,17,26,0,27,0,0,45,9,35,23,0,0,0,43,23,0,0,0,0,0,0,0,0,48,70,27,0,25,26,23,31,0,30,31,33,0,41,83,23,8,26,0,65,0,34,55,0,0,45,0,7,42,0,64,0,0,0,0,37,8,9,0,0,8,18,0,0,57,0,0,0,23,23,27,0,50,23,21,0,0,0,0,0,0,0,0,32,47,20,25,28,0,35,0,0,15,0,0,76,0,0,0,50,0,0,32,47,23,91,0,26,21,30,28,22,25,34,26,22,15,3,24,0,34,33,7,48,28,24,0,25,15,43,48,26,25,17,18,31,34,15,16,25,23,0,25,26,33,24,10,19,0,30,24,0,0,0,20,34,43,41,24,0,23,35,0,20,0,32,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,37,67,58,0,0,0,0,0,44,17,48,32,48,0,27,0,23,0,0,12,0,60,0,13,0,0,0,0,0,29,0,0,0,0,0,36,0,37,55,0,0,50,16,27,53,0,0,58,32,36,35,31,25,38,54,25,100,0,0,0,0,0,0,0
246,2017-09-17,8,28,51,12,12,36,27,19,11,30,32,54,24,2,27,15,0,28,0,15,49,47,42,21,32,41,18,20,23,35,0,0,0,0,0,0,0,0,0,52,21,0,40,25,50,0,0,13,29,24,0,0,0,29,20,47,26,34,32,0,47,20,0,0,0,0,0,20,0,31,0,23,31,0,0,23,45,40,37,0,62,33,0,0,0,23,8,25,0,58,47,29,0,33,0,0,0,7,0,0,0,49,0,0,0,49,10,9,0,0,7,18,23,38,0,65,22,0,0,69,18,0,0,12,0,32,0,0,0,0,0,0,37,32,24,0,20,28,0,47,51,0,0,0,0,0,0,0,40,50,0,0,48,39,29,26,0,52,35,34,29,29,0,48,32,28,14,3,22,0,79,34,6,47,28,53,0,19,38,44,66,0,29,15,27,0,38,7,8,25,30,33,16,12,45,25,13,16,0,26,37,0,0,0,25,47,35,40,12,34,11,35,0,21,45,32,34,0,61,0,25,0,24,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,21,0,41,0,15,0,18,0,0,6,0,0,0,13,0,0,0,21,0,22,0,0,0,0,0,39,0,28,35,0,0,34,15,23,27,29,35,66,61,23,24,27,0,0,41,26,0,0,0,62,0,0,0,0
247,2017-09-24,9,32,54,6,14,37,23,29,12,26,57,63,0,2,38,15,57,0,0,13,55,38,41,36,51,19,16,25,28,45,0,0,0,0,0,0,0,0,0,45,0,37,87,44,34,40,0,0,29,0,0,0,0,29,13,69,26,0,0,0,40,29,0,0,0,0,0,18,0,0,0,23,19,51,0,26,23,38,0,0,31,0,0,0,0,0,10,37,49,51,0,46,0,0,0,31,0,8,0,0,0,0,0,0,0,0,13,19,0,46,2,20,23,0,0,0,0,33,27,17,20,45,0,16,0,27,0,42,0,0,0,0,0,0,27,21,34,0,0,0,0,0,0,45,0,0,0,0,0,0,0,35,0,50,23,42,0,34,35,49,28,30,22,48,22,31,9,4,16,0,35,0,9,48,0,33,0,28,29,48,65,44,0,13,50,24,17,16,10,25,0,0,22,42,37,42,10,14,0,31,35,0,0,0,12,40,38,28,35,25,0,17,0,47,0,32,0,0,0,0,25,0,47,35,0,0,57,43,0,0,17,0,0,0,0,0,0,0,0,0,0,0,23,32,54,12,37,0,21,0,0,0,58,0,0,13,0,0,0,23,40,0,0,0,0,0,33,54,0,37,0,0,0,28,22,70,62,32,34,62,60,38,45,42,29,0,0,21,0,0,0,0,23,0,35,61
248,2017-10-01,8,24,21,7,8,25,20,13,15,28,42,28,19,2,32,10,0,24,0,15,45,28,77,29,20,34,45,11,30,41,0,0,70,0,0,0,0,0,0,52,21,0,19,51,25,35,0,25,47,47,0,0,0,29,9,30,31,0,32,0,28,35,0,0,0,0,0,18,0,42,0,23,19,60,19,68,23,31,50,0,35,36,33,0,0,23,11,19,0,60,0,58,0,0,0,82,0,6,28,0,0,35,31,0,0,37,0,28,0,0,3,18,0,26,57,0,0,33,0,0,10,0,0,12,20,0,0,0,0,0,47,0,0,0,23,20,28,0,0,0,0,0,0,0,0,29,0,0,30,0,0,0,16,43,28,23,0,0,28,38,0,39,0,43,26,28,13,3,17,0,34,0,6,45,19,46,30,34,39,65,43,51,34,13,19,31,22,9,5,0,0,0,21,16,13,32,14,12,0,23,30,0,0,46,11,63,44,27,25,0,11,35,0,41,34,0,26,0,0,0,0,0,23,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,36,12,42,0,11,0,0,7,0,0,56,23,0,0,0,17,0,29,53,0,0,0,0,29,0,19,32,0,0,0,20,23,61,31,0,42,42,42,28,35,0,0,70,23,38,0,0,0,0,0,0,0
249,2017-10-08,12,62,43,11,9,33,29,12,16,28,30,37,27,1,20,10,56,21,0,15,38,48,41,45,28,20,17,20,25,14,33,0,0,0,0,0,0,0,0,51,20,37,50,51,37,0,28,19,25,0,0,0,0,29,11,30,31,46,32,49,59,35,0,0,0,0,0,18,0,31,0,23,10,0,19,61,0,20,37,0,0,33,33,0,0,22,8,17,0,51,56,36,63,0,0,0,0,11,32,0,0,0,0,0,0,0,9,19,0,0,4,37,0,0,56,0,0,33,0,34,26,0,0,25,0,27,0,0,0,0,0,0,100,32,34,23,22,84,0,0,0,0,0,0,0,0,0,0,0,100,0,0,20,39,58,23,0,29,31,21,0,13,0,45,14,25,7,5,16,32,34,0,6,22,22,36,30,22,13,100,43,25,34,12,42,26,27,14,10,0,30,28,18,14,19,42,8,10,0,21,26,0,0,0,22,25,51,30,28,0,0,0,37,50,0,37,58,0,0,0,25,0,23,34,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,33,26,0,71,23,42,0,18,0,0,8,0,0,0,13,0,0,0,0,0,25,0,0,0,0,0,44,0,27,32,0,0,33,22,40,44,56,0,48,17,34,34,42,51,0,54,51,33,0,0,0,40,55,0,0
250,2017-10-15,15,26,75,6,8,27,25,17,12,29,27,40,21,2,32,9,0,0,0,12,40,34,46,22,44,32,23,21,48,16,0,0,0,0,0,0,0,0,0,44,12,0,17,32,25,0,0,17,34,0,0,0,0,48,20,34,41,0,0,0,49,60,0,62,0,0,0,20,0,0,0,23,18,0,0,30,22,31,0,0,0,0,0,0,0,0,0,0,0,30,0,39,0,0,0,52,56,5,27,0,0,0,0,0,0,54,8,0,0,0,4,18,23,22,0,64,0,0,0,0,9,61,0,16,27,40,0,31,0,0,0,0,0,24,23,20,60,0,0,0,0,0,15,0,54,28,0,0,34,0,0,0,30,39,35,39,0,22,24,45,38,16,0,48,18,22,13,2,16,0,45,33,7,28,0,54,0,31,0,69,45,26,50,12,18,41,19,10,13,0,0,0,21,14,24,35,0,10,0,19,20,0,52,0,31,38,30,22,21,0,11,23,28,28,0,32,34,0,0,0,0,0,23,0,0,0,0,0,0,55,20,0,0,0,0,0,0,0,0,0,0,15,31,0,55,0,17,0,28,0,0,6,0,0,0,15,0,0,66,32,0,22,0,0,0,35,0,64,0,19,32,0,0,0,0,31,53,75,34,54,25,42,49,25,0,0,0,21,0,35,46,0,46,0,0,0
251,2017-10-22,12,50,69,8,10,36,20,32,11,40,31,53,30,2,34,9,0,21,0,18,49,64,61,19,28,32,18,22,34,15,55,0,0,0,0,0,44,0,0,48,0,36,46,43,70,0,37,14,46,0,0,0,0,25,6,19,35,33,43,36,53,51,0,0,0,0,0,36,0,31,0,0,20,44,18,30,22,34,36,30,34,35,43,0,61,22,15,19,0,22,0,33,0,0,0,52,0,6,54,0,42,0,27,0,0,41,11,12,0,0,4,0,0,0,0,0,0,32,0,0,13,45,43,30,0,23,30,0,0,0,62,0,0,0,33,0,27,27,22,58,50,0,0,0,0,28,0,0,0,0,0,0,20,50,41,45,25,37,27,33,56,28,24,42,26,38,19,3,19,0,45,0,10,39,28,30,0,27,33,64,47,25,49,10,31,25,14,7,9,0,38,28,25,21,22,27,9,9,61,18,25,39,0,0,16,42,74,32,26,25,22,19,31,18,0,31,0,0,0,0,0,0,23,0,34,0,0,0,0,0,17,0,36,67,0,0,52,46,0,0,0,14,23,0,0,0,26,29,18,0,0,12,0,0,0,26,0,0,0,15,34,29,0,0,0,0,37,90,0,39,31,19,0,0,22,23,51,37,0,62,37,26,47,29,25,0,45,20,32,0,0,0,34,0,0,0
