date,CHFEUR,CHFJPY,CHFSEK,CHFAUD,USDCHF,USDGBP,USDCAD,USDEUR,USDJPY,USDSEK,USDAUD
2016-09-11,21,0,0,0,11,7,58,21,38,34,49
2016-09-18,0,0,0,0,5,7,36,26,60,0,16
2016-09-25,0,15,0,0,11,14,43,5,45,0,16
2016-10-02,5,15,0,0,10,13,45,15,43,11,32
2016-10-09,0,15,0,0,10,9,47,15,50,43,63
2016-10-16,0,30,40,0,13,9,60,20,46,21,55
2016-10-23,5,59,0,0,17,4,50,20,44,54,16
2016-10-30,5,15,0,0,19,16,59,5,46,0,16
2016-11-06,10,14,39,0,28,17,81,40,100,32,46
2016-11-13,5,15,0,0,18,20,60,25,66,43,31
2016-11-20,0,14,39,0,13,2,41,40,81,21,15
2016-11-27,0,0,0,44,16,6,47,44,56,20,45
2016-12-04,5,14,0,0,10,12,38,38,58,20,22
2016-12-11,0,0,0,0,18,6,63,49,71,10,61
2016-12-18,0,15,41,0,17,9,27,26,48,33,16
2016-12-25,5,23,41,0,14,7,38,11,58,23,33
2017-01-01,0,15,0,0,13,9,40,35,69,11,23
2017-01-08,0,14,0,0,10,12,31,43,73,0,15
2017-01-15,5,14,0,0,11,26,50,28,68,30,15
2017-01-22,0,14,37,0,17,16,48,24,59,20,29
2017-01-29,5,14,0,42,17,18,51,42,50,30,36
2017-02-05,9,0,0,84,9,4,35,19,55,20,14
2017-02-12,0,13,36,0,12,6,39,23,61,39,29
2017-02-19,0,14,0,0,17,4,35,19,51,10,22
2017-02-26,9,20,0,0,14,10,62,23,58,19,42
2017-03-05,0,0,0,0,15,6,64,41,59,19,28
2017-03-12,0,39,0,0,9,6,34,18,58,10,35
2017-03-19,5,0,36,0,13,16,31,9,73,0,29
2017-03-26,0,14,0,0,18,14,52,42,67,10,44
2017-04-02,5,0,0,0,15,12,27,19,74,10,36
2017-04-09,10,21,0,43,15,13,23,19,79,41,52
2017-04-16,5,14,0,0,9,6,52,5,69,0,37
2017-04-23,0,0,0,0,9,2,61,32,62,20,22
2017-04-30,0,0,0,0,12,12,50,23,55,20,15
2017-05-07,0,14,36,0,13,4,59,28,59,10,44
2017-05-14,5,22,58,0,11,9,35,25,53,21,39
2017-05-21,5,14,0,0,17,11,45,30,45,11,47
2017-05-28,0,22,0,0,12,11,31,25,42,11,39
2017-06-04,0,14,39,0,20,19,39,30,54,10,15
2017-06-11,5,0,0,0,17,7,69,15,46,11,15
2017-06-18,0,14,0,0,17,11,43,19,50,10,23
2017-06-25,0,15,0,0,9,11,56,36,48,11,24
2017-07-02,10,15,0,0,6,4,61,15,37,11,24
2017-07-09,0,0,0,0,13,4,82,25,62,21,31
2017-07-16,10,0,40,0,12,18,80,15,51,21,39
2017-07-23,5,14,0,0,26,4,57,25,61,11,46
2017-07-30,14,28,38,0,12,4,68,15,49,20,45
2017-08-06,14,14,0,0,11,6,38,39,53,10,37
2017-08-13,0,14,0,0,14,2,35,10,52,42,31
2017-08-20,10,28,0,0,15,11,66,24,54,0,30
2017-08-27,5,42,38,0,13,8,49,44,55,20,30
2017-09-03,10,0,0,0,17,10,70,19,50,10,82
