This file was downloaded on February 26 2018 4:12:17 AM UTC-08:00
Keywords,footwear
Date Range,2015-02-24 - 2018-02-24
Site: ,ebay.com.au
Listing Format: ,FixedPrice,StoresFixedPrice
Buyer Country: ,AU
Seller Country: ,AU
Category: ,Clothing, Shoes, Accessories

Date,Items Sold,Average Selling Price,Total Sales
2015-08-01,9,23.22 USD,209.02 USD
2015-08-02,15,28.07 USD,421.02 USD
2015-08-03,20,35.45 USD,709.04 USD
2015-08-04,13,15.26 USD,198.39 USD
2015-08-05,14,21.16 USD,296.18 USD
2015-08-06,11,21.79 USD,239.65 USD
2015-08-07,15,24.20 USD,363.00 USD
2015-08-08,13,42.06 USD,546.76 USD
2015-08-09,14,20.29 USD,284.00 USD
2015-08-10,22,17.85 USD,392.71 USD
2015-08-11,7,31.28 USD,218.97 USD
2015-08-12,17,15.76 USD,268.00 USD
2015-08-13,9,26.10 USD,234.89 USD
2015-08-14,10,28.16 USD,281.57 USD
2015-08-15,14,23.87 USD,334.20 USD
2015-08-16,6,21.98 USD,131.89 USD
2015-08-17,12,39.65 USD,475.82 USD
2015-08-18,11,18.55 USD,204.07 USD
2015-08-19,8,42.81 USD,342.51 USD
2015-08-20,17,30.72 USD,522.19 USD
2015-08-21,10,19.21 USD,192.08 USD
2015-08-22,17,21.42 USD,364.11 USD
2015-08-23,5,9.96 USD,49.79 USD
2015-08-24,15,30.39 USD,455.90 USD
2015-08-25,15,25.39 USD,380.92 USD
2015-08-26,12,32.87 USD,394.49 USD
2015-08-27,11,25.85 USD,284.36 USD
2015-08-28,24,17.01 USD,408.23 USD
2015-08-29,13,27.87 USD,362.27 USD
2015-08-30,11,21.84 USD,240.26 USD
2015-08-31,16,32.01 USD,512.23 USD
2015-09-01,6,23.60 USD,141.60 USD
2015-09-02,18,21.56 USD,388.02 USD
2015-09-03,11,20.23 USD,222.52 USD
2015-09-04,9,24.63 USD,221.66 USD
2015-09-05,14,30.39 USD,425.39 USD
2015-09-06,13,25.94 USD,337.27 USD
2015-09-07,9,30.38 USD,273.40 USD
2015-09-08,14,40.09 USD,561.23 USD
2015-09-09,10,15.73 USD,157.32 USD
2015-09-10,15,29.43 USD,441.50 USD
2015-09-11,12,17.37 USD,208.44 USD
2015-09-12,11,24.52 USD,269.69 USD
2015-09-13,9,37.81 USD,340.32 USD
2015-09-14,0,0.00 USD,0.00 USD
2015-09-15,0,0.00 USD,0.00 USD
2015-09-16,0,0.00 USD,0.00 USD
2015-09-17,0,0.00 USD,0.00 USD
2015-09-18,0,0.00 USD,0.00 USD
2015-09-19,0,0.00 USD,0.00 USD
2015-09-20,0,0.00 USD,0.00 USD
2015-09-21,0,0.00 USD,0.00 USD
2015-09-22,0,0.00 USD,0.00 USD
2015-09-23,0,0.00 USD,0.00 USD
2015-09-24,0,0.00 USD,0.00 USD
2015-09-25,0,0.00 USD,0.00 USD
2015-09-26,0,0.00 USD,0.00 USD
2015-09-27,0,0.00 USD,0.00 USD
2015-09-28,0,0.00 USD,0.00 USD
2015-09-29,0,0.00 USD,0.00 USD
2015-09-30,0,0.00 USD,0.00 USD
2015-10-01,0,0.00 USD,0.00 USD
2015-10-02,0,0.00 USD,0.00 USD
2015-10-03,0,0.00 USD,0.00 USD
2015-10-04,0,0.00 USD,0.00 USD
2015-10-05,0,0.00 USD,0.00 USD
2015-10-06,0,0.00 USD,0.00 USD
2015-10-07,0,0.00 USD,0.00 USD
2015-10-08,0,0.00 USD,0.00 USD
2015-10-09,12,25.50 USD,305.95 USD
2015-10-10,23,19.27 USD,443.16 USD
2015-10-11,21,25.51 USD,535.80 USD
2015-10-12,17,24.14 USD,410.41 USD
2015-10-13,23,27.31 USD,628.18 USD
2015-10-14,8,22.16 USD,177.31 USD
2015-10-15,26,15.49 USD,402.84 USD
2015-10-16,5,34.97 USD,174.84 USD
2015-10-17,24,21.94 USD,526.66 USD
2015-10-18,17,32.20 USD,547.35 USD
2015-10-19,14,39.74 USD,556.32 USD
2015-10-20,18,27.46 USD,494.24 USD
2015-10-21,23,21.83 USD,502.13 USD
2015-10-22,13,14.61 USD,189.99 USD
2015-10-23,18,21.65 USD,389.70 USD
2015-10-24,20,22.00 USD,439.94 USD
2015-10-25,14,22.97 USD,321.58 USD
2015-10-26,14,49.24 USD,689.33 USD
2015-10-27,15,38.00 USD,569.97 USD
2015-10-28,18,31.95 USD,575.11 USD
2015-10-29,12,30.14 USD,361.67 USD
2015-10-30,13,19.78 USD,257.08 USD
2015-10-31,9,49.33 USD,444.01 USD
2015-11-01,9,43.55 USD,391.94 USD
2015-11-02,17,41.31 USD,702.22 USD
2015-11-03,11,30.00 USD,329.96 USD
2015-11-04,23,20.53 USD,472.22 USD
2015-11-05,9,30.27 USD,272.41 USD
2015-11-06,11,15.55 USD,171.08 USD
2015-11-07,13,36.08 USD,469.00 USD
2015-11-08,29,51.47 USD,1492.53 USD
2015-11-09,28,43.60 USD,1220.76 USD
2015-11-10,28,47.36 USD,1326.01 USD
2015-11-11,25,34.97 USD,874.14 USD
2015-11-12,23,45.79 USD,1053.11 USD
2015-11-13,15,42.35 USD,635.24 USD
2015-11-14,14,40.97 USD,573.63 USD
2015-11-15,26,28.42 USD,738.89 USD
2015-11-16,14,30.37 USD,425.13 USD
2015-11-17,11,32.92 USD,362.14 USD
2015-11-18,18,30.11 USD,541.94 USD
2015-11-19,19,18.33 USD,348.28 USD
2015-11-20,15,36.24 USD,543.54 USD
2015-11-21,17,24.19 USD,411.22 USD
2015-11-22,16,27.99 USD,447.76 USD
2015-11-23,19,60.14 USD,1142.63 USD
2015-11-24,26,25.70 USD,668.21 USD
2015-11-25,20,34.21 USD,684.16 USD
2015-11-26,13,41.21 USD,535.77 USD
2015-11-27,15,24.91 USD,373.71 USD
2015-11-28,12,23.22 USD,278.67 USD
2015-11-29,24,29.12 USD,698.80 USD
2015-11-30,12,34.56 USD,414.71 USD
2015-12-01,15,26.47 USD,397.01 USD
2015-12-02,21,29.36 USD,616.48 USD
2015-12-03,18,24.50 USD,440.95 USD
2015-12-04,22,21.29 USD,468.46 USD
2015-12-05,13,33.94 USD,441.18 USD
2015-12-06,22,21.71 USD,477.56 USD
2015-12-07,22,28.86 USD,634.93 USD
2015-12-08,26,22.51 USD,585.21 USD
2015-12-09,40,26.89 USD,1075.61 USD
