,date,beer,beer_sales,beer_weighting,scotch,scotch_sales,scotch_weighting,vodka,vodka_sales,vodka_weighting,whiskey,whiskey_sales,whiskey_weighting,wine,wine_sales,wine_weighting
113,2015-08-17,10.06,30.19,3.0009940357852884,201.28,402.55,1.999950317965024,72.41,579.25,7.9995856925838975,168.62,843.1,5.0,28.45,1251.83,44.001054481546575
114,2015-08-18,12.29,36.87,3.0,69.47,277.89,4.000143947027493,57.36,344.16,6.000000000000001,90.81,272.43,3.0,37.5,1537.52,41.00053333333333
115,2015-08-19,10.9,87.19,7.999082568807339,78.13,390.66,5.000127991808525,40.46,80.91,1.999752842313396,129.16,645.79,4.9999225766491175,27.52,2036.51,74.00109011627907
116,2015-08-20,13.55,54.18,3.998523985239852,144.43,288.85,1.999930762307,64.25,449.76,7.000155642023346,94.91,664.38,7.000105362975451,37.37,1233.33,33.003211131924004
117,2015-08-21,13.21,52.82,3.9984859954579863,487.53,1462.6,3.000020511558263,25.8,25.8,1.0,97.55,97.55,1.0,25.15,1106.73,44.005168986083504
118,2015-08-22,8.5,42.5,5.0,74.56,372.78,4.999731759656652,76.15,533.06,7.000131319763623,428.14,1712.56,4.0,22.64,2830.55,125.02429328621909
119,2015-08-24,10.26,30.78,3.0,1026.83,2053.65,1.9999902612896003,104.58,732.04,6.999808758844903,46.76,140.28,3.0,33.31,1265.93,38.004503152206546
120,2015-08-25,18.08,126.59,7.0016592920353995,179.69,359.38,2.0,101.62,812.96,8.0,63.14,189.41,2.999841621792841,24.93,1495.99,60.0076213397513
121,2015-08-26,24.81,297.74,12.000806126561871,42.05,294.34,6.999762187871581,85.87,686.95,7.999883544893444,180.83,361.66,2.0,28.62,1001.53,34.99406009783368
122,2015-08-27,11.85,154.11,13.005063291139242,59.17,118.34,2.0,43.11,172.44,4.0,39.33,117.99,3.0,79.37,2381.02,29.998992062492125
123,2015-08-28,17.32,69.28,4.0,156.2,780.98,4.999871959026889,48.89,146.68,3.000204540805891,178.68,357.35,1.9999440340273114,37.63,1354.53,35.996013818761625
124,2015-08-29,34.33,102.99,3.0,99.47,99.47,1.0,94.1,282.29,2.9998937300743895,55.52,166.57,3.000180115273775,25.68,1129.8,43.995327102803735
125,2015-08-30,21.32,127.94,6.00093808630394,100.72,302.17,3.000099285146942,73.99,517.9,6.999594539802676,161.35,484.04,2.9999380229315156,27.53,1128.69,40.99854703959317
126,2015-08-31,15.01,45.02,2.999333777481679,98.34,196.67,1.9998983119788487,59.11,354.64,5.9996616477753335,60.71,182.13,3.0,27.97,1734.18,62.00143010368252
127,2015-09-01,12.7,114.33,9.00236220472441,138.1,1242.94,9.00028964518465,48.95,195.8,4.0,93.21,559.24,5.9997854307477745,35.57,1707.31,47.99859432105707
128,2015-09-02,3.86,15.44,4.0,85.82,429.09,4.999883477044978,56.81,113.62,2.0,53.54,267.7,5.0,48.62,1653.11,34.00061703002879
129,2015-09-03,12.33,61.63,4.998377939983779,88.17,352.68,4.0,78.94,315.75,3.9998733215100075,51.68,103.35,1.9998065015479876,37.19,1822.31,49.0
130,2015-09-04,10.52,84.18,8.001901140684412,93.22,186.43,1.9998927268826434,126.95,253.89,1.999921228830248,85.54,171.08,2.0,75.13,8639.83,114.99840276853455
131,2015-09-05,9.7,9.7,1.0,99.48,397.9,3.999798954563731,44.52,178.07,3.9997753818508532,95.39,381.57,4.000104832791697,59.93,5632.97,93.99249123977975
132,2015-09-06,7.62,45.73,6.001312335958005,98.36,98.36,1.0,107.15,642.91,6.000093327111525,115.12,460.46,3.999826268241834,31.49,2802.32,88.990790727215
133,2015-09-07,6.94,6.94,1.0,98.07,1078.73,10.999592128071786,136.47,272.93,1.9999267238220855,137.66,137.66,1.0,45.91,2249.78,49.004138531910264
134,2015-09-08,3.47,13.86,3.9942363112391925,29.26,58.51,1.9996582365003417,62.08,372.45,5.999516752577319,129.89,389.68,3.0000769882208025,60.24,2891.65,48.002158034528556
135,2015-09-09,9.8,19.6,2.0,62.11,496.91,8.000483014007406,95.71,382.85,4.0001044822902525,50.0,100.0,2.0,33.77,2127.55,63.00118448326917
