This file was downloaded on March 20 2018 4:39:14 AM UTC-07:00
Keywords,leather shoes
Date Range,2015-03-19 - 2018-03-12
Buyer Country: ,AU
Category: ,Men's Shoes
Product Condition: ,Refurbished,New,Used
2016-11-03,5,66.13 USD,330.64 USD
2016-11-04,2,35.43 USD,70.85 USD
2016-11-05,4,17.42 USD,69.68 USD
2016-11-06,9,26.71 USD,240.35 USD
2016-11-07,11,33.73 USD,371.04 USD
2016-11-08,13,19.85 USD,258.06 USD
2016-11-09,4,27.68 USD,110.73 USD
2016-11-10,6,30.88 USD,185.25 USD
2016-11-11,6,35.98 USD,215.85 USD
2016-11-12,8,24.97 USD,199.74 USD
2016-11-13,4,36.94 USD,147.76 USD
2016-11-14,5,16.28 USD,81.39 USD
2016-11-15,2,15.06 USD,30.12 USD
2016-11-16,7,31.42 USD,219.94 USD
2016-11-17,2,29.88 USD,59.75 USD
2016-11-18,4,35.03 USD,140.10 USD
2016-11-19,3,25.46 USD,76.38 USD
2016-11-20,3,14.94 USD,44.82 USD
2016-11-21,9,37.91 USD,341.17 USD
2016-11-22,7,35.78 USD,250.45 USD
2016-11-23,6,19.50 USD,116.97 USD
2016-11-24,7,11.13 USD,77.94 USD
2016-11-25,7,30.49 USD,213.46 USD
2016-11-26,6,19.19 USD,115.15 USD
2016-11-27,8,28.28 USD,226.24 USD
2016-11-28,4,21.36 USD,85.42 USD
2016-11-29,3,50.38 USD,151.14 USD
2016-11-30,3,68.06 USD,204.18 USD
2016-12-01,4,14.78 USD,59.10 USD
2016-12-02,5,18.73 USD,93.65 USD
2016-12-03,8,43.50 USD,348.00 USD
2016-12-04,11,22.04 USD,242.39 USD
2016-12-05,4,13.40 USD,53.59 USD
2016-12-06,2,92.07 USD,184.13 USD
2016-12-07,4,36.23 USD,144.92 USD
2016-12-08,8,33.85 USD,270.82 USD
2016-12-09,8,29.57 USD,236.52 USD
2016-12-10,5,47.61 USD,238.05 USD
2016-12-11,10,28.84 USD,288.38 USD
2016-12-12,5,37.56 USD,187.79 USD
2016-12-13,4,17.53 USD,70.11 USD
2016-12-14,5,19.11 USD,95.57 USD
2016-12-15,5,59.49 USD,297.43 USD
2016-12-16,4,34.18 USD,136.73 USD
2016-12-17,7,20.93 USD,146.49 USD
2016-12-18,9,25.73 USD,231.55 USD
2016-12-19,5,14.05 USD,70.26 USD
2016-12-20,1,10.88 USD,10.88 USD
2016-12-21,4,38.65 USD,154.60 USD
2016-12-22,2,36.25 USD,72.50 USD
2016-12-23,1,14.44 USD,14.44 USD
2016-12-24,3,24.52 USD,73.57 USD
2016-12-25,2,25.11 USD,50.22 USD
2016-12-26,5,29.12 USD,145.60 USD
2016-12-27,2,16.86 USD,33.71 USD
2016-12-28,6,26.59 USD,159.55 USD
2016-12-29,2,29.36 USD,58.71 USD
2016-12-30,2,17.13 USD,34.26 USD
2016-12-31,3,22.69 USD,68.06 USD
2017-01-01,4,27.88 USD,111.50 USD
2017-01-02,5,37.22 USD,186.09 USD
2017-01-03,4,15.75 USD,62.99 USD
2017-01-04,0,0.00 USD,0.00 USD
2017-01-05,5,21.86 USD,109.32 USD
2017-01-06,1,293.78 USD,293.78 USD
2017-01-07,9,15.98 USD,143.79 USD
2017-01-08,4,27.44 USD,109.77 USD
2017-01-09,4,18.30 USD,73.19 USD
2017-01-10,5,21.74 USD,108.69 USD
2017-01-11,6,23.06 USD,138.33 USD
2017-01-12,6,14.71 USD,88.24 USD
2017-01-13,2,48.71 USD,97.42 USD
2017-01-14,12,26.42 USD,317.08 USD
2017-01-15,8,30.55 USD,244.37 USD
2017-01-16,10,22.62 USD,226.16 USD
2017-01-17,7,20.29 USD,142.03 USD
2017-01-18,3,9.16 USD,27.48 USD
2017-01-19,5,32.83 USD,164.13 USD
2017-01-20,4,16.32 USD,65.28 USD
2017-01-21,1,22.64 USD,22.64 USD
2017-01-22,6,18.30 USD,109.79 USD
2017-01-23,6,18.12 USD,108.69 USD
2017-01-24,10,28.90 USD,289.00 USD
2017-01-25,5,30.06 USD,150.29 USD
2017-01-26,3,22.67 USD,68.00 USD
2017-01-27,10,22.24 USD,222.37 USD
2017-01-28,7,29.41 USD,205.84 USD
2017-01-29,3,20.14 USD,60.42 USD
2017-01-30,5,23.26 USD,116.31 USD
2017-01-31,9,37.79 USD,340.08 USD
2017-02-01,5,27.10 USD,135.51 USD
2017-02-02,12,17.97 USD,215.63 USD
2017-02-03,1,11.52 USD,11.52 USD
2017-02-04,4,22.77 USD,91.08 USD
2017-02-05,7,25.25 USD,176.74 USD
2017-02-06,5,15.41 USD,77.06 USD
2017-02-07,7,33.35 USD,233.45 USD
2017-02-08,6,14.77 USD,88.64 USD
2017-02-09,3,23.32 USD,69.97 USD
2017-02-10,3,21.23 USD,63.69 USD
2017-02-11,4,28.48 USD,113.92 USD
2017-02-12,8,21.46 USD,171.64 USD
2017-02-13,8,69.85 USD,558.80 USD
2017-02-14,6,21.39 USD,128.35 USD
2017-02-15,7,16.27 USD,113.89 USD
2017-02-16,12,42.47 USD,509.65 USD
2017-02-17,7,28.77 USD,201.36 USD
2017-02-18,7,32.41 USD,226.90 USD
2017-02-19,4,25.01 USD,100.03 USD
2017-02-20,8,39.88 USD,319.01 USD
2017-02-21,3,12.77 USD,38.31 USD
2017-02-22,4,15.93 USD,63.71 USD
2017-02-23,3,23.10 USD,69.31 USD
2017-02-24,5,7.72 USD,38.60 USD
2017-02-25,11,28.27 USD,311.00 USD
2017-02-26,7,36.09 USD,252.66 USD
2017-02-27,5,13.43 USD,67.16 USD
2017-02-28,4,19.70 USD,78.79 USD
2017-03-01,4,25.17 USD,100.67 USD
2017-03-02,7,34.60 USD,242.19 USD
2017-03-03,4,24.64 USD,98.55 USD
2017-03-04,4,29.89 USD,119.55 USD
2017-03-05,10,48.16 USD,481.55 USD
2017-03-06,8,17.40 USD,139.22 USD
2017-03-07,10,30.77 USD,307.70 USD
2017-03-08,2,24.68 USD,49.35 USD
2017-03-09,6,42.25 USD,253.47 USD
2017-03-10,5,26.79 USD,133.93 USD
2017-03-11,5,22.77 USD,113.85 USD
2017-03-12,3,36.44 USD,109.33 USD
2017-03-13,3,24.13 USD,72.38 USD
2017-03-14,2,49.66 USD,99.32 USD
2017-03-15,6,23.73 USD,142.40 USD
2017-03-16,3,24.80 USD,74.40 USD
2017-03-17,4,20.43 USD,81.72 USD
2017-03-18,12,27.39 USD,328.62 USD
2017-03-19,0,0.00 USD,0.00 USD
2017-03-20,11,14.29 USD,157.17 USD
2017-03-21,7,25.12 USD,175.86 USD
2017-03-22,6,18.33 USD,109.97 USD
2017-03-23,7,23.79 USD,166.50 USD
2017-03-24,2,38.20 USD,76.40 USD
2017-03-25,3,15.49 USD,46.47 USD
2017-03-26,6,18.09 USD,108.54 USD
2017-03-27,2,20.95 USD,41.89 USD
2017-03-28,7,19.14 USD,134.00 USD
2017-03-29,4,13.74 USD,54.95 USD
2017-03-30,3,68.17 USD,204.51 USD
2017-03-31,5,84.41 USD,422.06 USD
2017-04-01,6,18.82 USD,112.89 USD
2017-04-02,11,15.90 USD,174.90 USD
2017-04-03,4,30.89 USD,123.57 USD
2017-04-04,10,57.73 USD,577.33 USD
2017-04-05,7,24.08 USD,168.55 USD
2017-04-06,4,18.57 USD,74.29 USD
2017-04-07,4,27.57 USD,110.27 USD
2017-04-08,4,16.14 USD,64.57 USD
2017-04-09,12,25.77 USD,309.21 USD
2017-04-10,9,19.84 USD,178.54 USD
2017-04-11,3,25.25 USD,75.74 USD
2017-04-12,8,22.95 USD,183.57 USD
2017-04-13,11,39.24 USD,431.66 USD
2017-04-14,7,22.73 USD,159.08 USD
2017-04-15,5,18.81 USD,94.04 USD
2017-04-16,9,29.49 USD,265.41 USD
2017-04-17,10,21.88 USD,218.79 USD
2017-04-18,5,15.38 USD,76.88 USD
2017-04-19,4,22.44 USD,89.74 USD
2017-04-20,8,36.87 USD,294.92 USD
2017-04-21,4,35.52 USD,142.06 USD
2017-04-22,11,23.64 USD,260.05 USD
2017-04-23,7,35.14 USD,245.99 USD
2017-04-24,6,16.61 USD,99.65 USD
2017-04-25,6,30.58 USD,183.48 USD
2017-04-26,5,15.29 USD,76.47 USD
2017-04-27,9,31.34 USD,282.04 USD
2017-04-28,2,27.55 USD,55.09 USD
2017-04-29,9,28.87 USD,259.85 USD
2017-04-30,6,34.59 USD,207.53 USD
2017-05-01,6,30.29 USD,181.72 USD
2017-05-02,8,24.72 USD,197.75 USD
2017-05-03,1,60.12 USD,60.12 USD
2017-05-04,2,26.85 USD,53.69 USD
2017-05-05,5,27.67 USD,138.34 USD
2017-05-06,3,23.58 USD,70.73 USD
2017-05-07,6,32.36 USD,194.17 USD
2017-05-08,5,28.88 USD,144.42 USD
2017-05-09,1,19.20 USD,19.20 USD
2017-05-10,4,93.72 USD,374.86 USD
2017-05-11,8,30.96 USD,247.65 USD
2017-05-12,6,21.68 USD,130.07 USD
2017-05-13,4,28.75 USD,115.01 USD
2017-05-14,6,12.45 USD,74.67 USD
2017-05-15,4,39.38 USD,157.53 USD
2017-05-16,7,28.08 USD,196.59 USD
2017-05-17,4,17.38 USD,69.50 USD
2017-05-18,6,27.11 USD,162.65 USD
2017-05-19,4,15.32 USD,61.28 USD
2017-05-20,2,35.35 USD,70.70 USD
2017-05-21,5,59.64 USD,298.21 USD
2017-05-22,10,26.23 USD,262.32 USD
2017-05-23,1,56.89 USD,56.89 USD
2017-05-24,3,22.73 USD,68.19 USD
2017-05-25,6,44.71 USD,268.26 USD
2017-05-26,4,10.83 USD,43.30 USD
2017-05-27,3,45.29 USD,135.87 USD
2017-05-28,11,28.23 USD,310.54 USD
2017-05-29,4,27.55 USD,110.19 USD
2017-05-30,7,42.58 USD,298.08 USD
2017-05-31,5,30.10 USD,150.49 USD
2017-06-01,7,28.61 USD,200.28 USD
2017-06-02,4,31.91 USD,127.65 USD
2017-06-03,8,23.48 USD,187.84 USD
2017-06-04,11,20.35 USD,223.88 USD
2017-06-05,6,53.24 USD,319.43 USD
2017-06-06,4,22.26 USD,89.03 USD
2017-06-07,9,32.78 USD,295.02 USD
2017-06-08,10,59.23 USD,592.26 USD
2017-06-09,5,25.77 USD,128.86 USD
2017-06-10,10,18.22 USD,182.17 USD
2017-06-11,7,50.01 USD,350.08 USD
2017-06-12,7,38.40 USD,268.81 USD
2017-06-13,11,32.42 USD,356.63 USD
2017-06-14,5,21.86 USD,109.31 USD
2017-06-15,5,37.49 USD,187.45 USD
2017-06-16,6,25.01 USD,150.04 USD
2017-06-17,9,27.33 USD,245.95 USD
2017-06-18,8,17.53 USD,140.25 USD
2017-06-19,8,31.49 USD,251.91 USD
2017-06-20,6,61.64 USD,369.81 USD
2017-06-21,8,23.70 USD,189.58 USD
2017-06-22,6,19.63 USD,117.79 USD
2017-06-23,9,21.40 USD,192.62 USD
2017-06-24,4,51.20 USD,204.78 USD
2017-06-25,8,34.59 USD,276.68 USD
2017-06-26,4,39.18 USD,156.71 USD
2017-06-27,2,28.82 USD,57.64 USD
2017-06-28,5,33.42 USD,167.10 USD
2017-06-29,3,10.27 USD,30.81 USD
2017-06-30,8,45.01 USD,360.05 USD
2017-07-01,6,49.41 USD,296.45 USD
2017-07-02,11,49.33 USD,542.68 USD
2017-07-03,7,25.02 USD,175.16 USD
2017-07-04,4,47.97 USD,191.89 USD
2017-07-05,6,25.27 USD,151.62 USD
2017-07-06,5,52.15 USD,260.77 USD
2017-07-07,8,25.63 USD,205.04 USD
2017-07-08,5,53.37 USD,266.87 USD
2017-07-09,6,26.74 USD,160.44 USD
2017-07-10,11,34.65 USD,381.13 USD
2017-07-11,1,15.57 USD,15.57 USD
2017-07-12,4,44.53 USD,178.11 USD
2017-07-13,7,21.15 USD,148.08 USD
2017-07-14,5,23.94 USD,119.68 USD
2017-07-15,7,19.55 USD,136.85 USD
2017-07-16,9,22.52 USD,202.65 USD
2017-07-17,5,96.68 USD,483.41 USD
2017-07-18,5,88.30 USD,441.50 USD
2017-07-19,8,37.65 USD,301.23 USD
2017-07-20,5,29.11 USD,145.53 USD
2017-07-21,5,27.85 USD,139.26 USD
2017-07-22,10,64.67 USD,646.68 USD
2017-07-23,6,19.86 USD,119.15 USD
2017-07-24,1,7.92 USD,7.92 USD
2017-07-25,8,20.79 USD,166.30 USD
2017-07-26,3,28.85 USD,86.56 USD
2017-07-27,10,23.99 USD,239.87 USD
2017-07-28,4,35.47 USD,141.89 USD
2017-07-29,4,27.02 USD,108.06 USD
2017-07-30,12,24.54 USD,294.52 USD
2017-07-31,1,16.00 USD,16.00 USD
2017-08-01,4,39.32 USD,157.28 USD
2017-08-02,4,32.35 USD,129.39 USD
2017-08-03,6,29.03 USD,174.17 USD
2017-08-04,7,24.37 USD,170.56 USD
2017-08-05,6,40.89 USD,245.31 USD
2017-08-06,6,21.33 USD,127.99 USD
2017-08-07,6,32.47 USD,194.83 USD
2017-08-08,5,55.82 USD,279.11 USD
2017-08-09,5,38.92 USD,194.60 USD
2017-08-10,3,54.30 USD,162.89 USD
2017-08-11,5,21.02 USD,105.11 USD
2017-08-12,3,38.05 USD,114.16 USD
2017-08-13,3,19.95 USD,59.84 USD
2017-08-14,4,11.52 USD,46.06 USD
2017-08-15,5,26.04 USD,130.20 USD
2017-08-16,4,11.20 USD,44.81 USD
2017-08-17,2,29.55 USD,59.09 USD
2017-08-18,4,26.43 USD,105.71 USD
2017-08-19,4,22.15 USD,88.61 USD
2017-08-20,10,33.35 USD,333.48 USD
2017-08-21,4,18.40 USD,73.58 USD
2017-08-22,1,21.36 USD,21.36 USD
2017-08-23,2,20.61 USD,41.21 USD
2017-08-24,6,20.99 USD,125.95 USD
2017-08-25,8,35.47 USD,283.74 USD
2017-08-26,6,33.08 USD,198.50 USD
2017-08-27,6,48.36 USD,290.17 USD
2017-08-28,8,20.84 USD,166.73 USD
2017-08-29,2,23.85 USD,47.69 USD
2017-08-30,6,112.50 USD,674.98 USD
2017-08-31,0,0.00 USD,0.00 USD
2017-09-01,6,39.66 USD,237.93 USD
2017-09-02,3,44.64 USD,133.92 USD
2017-09-03,10,22.97 USD,229.68 USD
2017-09-04,4,24.03 USD,96.11 USD
2017-09-05,5,24.57 USD,122.87 USD
2017-09-06,3,22.46 USD,67.37 USD
2017-09-07,1,11.99 USD,11.99 USD
2017-09-08,1,16.47 USD,16.47 USD
2017-09-09,1,8.02 USD,8.02 USD
2017-09-10,9,25.80 USD,232.22 USD
2017-09-11,3,12.63 USD,37.90 USD
2017-09-12,1,16.06 USD,16.06 USD
2017-09-13,4,18.68 USD,74.70 USD
2017-09-14,4,24.39 USD,97.54 USD
2017-09-15,6,25.00 USD,149.99 USD
2017-09-16,4,43.02 USD,172.06 USD
2017-09-17,5,30.25 USD,151.26 USD
2017-09-18,2,18.21 USD,36.42 USD
2017-09-19,6,28.73 USD,172.40 USD
2017-09-20,3,22.00 USD,66.00 USD
2017-09-21,5,30.18 USD,150.88 USD
2017-09-22,5,25.79 USD,128.95 USD
2017-09-23,2,50.27 USD,100.53 USD
2017-09-24,3,45.48 USD,136.43 USD
2017-09-25,2,11.93 USD,23.86 USD
2017-09-26,3,38.38 USD,115.15 USD
2017-09-27,5,22.91 USD,114.57 USD
2017-09-28,3,23.85 USD,71.55 USD
2017-09-29,4,30.56 USD,122.23 USD
2017-09-30,4,31.09 USD,124.37 USD
2017-10-01,5,43.54 USD,217.70 USD
2017-10-02,5,39.53 USD,197.63 USD
2017-10-03,1,16.82 USD,16.82 USD
2017-10-04,11,21.86 USD,240.43 USD
2017-10-05,5,23.71 USD,118.53 USD
2017-10-06,6,59.70 USD,358.22 USD
2017-10-07,2,15.52 USD,31.04 USD
2017-10-08,1,25.61 USD,25.61 USD
2017-10-09,5,25.75 USD,128.73 USD
2017-10-10,6,24.53 USD,147.15 USD
2017-10-11,5,63.79 USD,318.95 USD
2017-10-12,8,29.98 USD,239.81 USD
2017-10-13,2,56.34 USD,112.68 USD
2017-10-14,5,34.33 USD,171.63 USD
2017-10-15,4,21.69 USD,86.77 USD
2017-10-16,5,14.29 USD,71.47 USD
2017-10-17,8,46.93 USD,375.41 USD
2017-10-18,2,58.35 USD,116.69 USD
2017-10-19,4,20.95 USD,83.80 USD
2017-10-20,3,34.68 USD,104.05 USD
2017-10-21,2,11.73 USD,23.45 USD
2017-10-22,4,28.73 USD,114.92 USD
2017-10-23,5,68.23 USD,341.16 USD
2017-10-24,6,27.40 USD,164.37 USD
2017-10-25,5,14.22 USD,71.09 USD
2017-10-26,8,26.95 USD,215.59 USD
2017-10-27,5,25.56 USD,127.80 USD
2017-10-28,1,38.26 USD,38.26 USD
2017-10-29,4,18.16 USD,72.62 USD
2017-10-30,5,22.65 USD,113.26 USD
2017-10-31,8,17.68 USD,141.44 USD
2017-11-01,4,22.04 USD,88.17 USD
2017-11-02,8,24.68 USD,197.46 USD
2017-11-03,4,59.13 USD,236.50 USD
2017-11-04,1,50.48 USD,50.48 USD
2017-11-05,1,26.77 USD,26.77 USD
2017-11-06,5,21.49 USD,107.47 USD
2017-11-07,3,34.46 USD,103.38 USD
2017-11-08,8,18.13 USD,145.05 USD
2017-11-09,3,25.05 USD,75.16 USD
2017-11-10,3,58.59 USD,175.76 USD
2017-11-11,3,19.19 USD,57.56 USD
2017-11-12,9,27.98 USD,251.80 USD
2017-11-13,7,28.67 USD,200.70 USD
2017-11-14,3,24.69 USD,74.07 USD
2017-11-15,9,31.83 USD,286.50 USD
2017-11-16,9,39.66 USD,356.92 USD
2017-11-17,6,18.87 USD,113.23 USD
2017-11-18,5,13.58 USD,67.92 USD
2017-11-19,6,22.90 USD,137.37 USD
2017-11-20,9,41.93 USD,377.41 USD
2017-11-21,5,24.05 USD,120.27 USD
2017-11-22,2,44.34 USD,88.68 USD
2017-11-23,9,20.14 USD,181.27 USD
2017-11-24,9,32.68 USD,294.12 USD
2017-11-25,4,15.05 USD,60.20 USD
2017-11-26,5,20.89 USD,104.43 USD
2017-11-27,5,17.31 USD,86.55 USD
2017-11-28,5,24.83 USD,124.17 USD
2017-11-29,4,9.59 USD,38.37 USD
2017-11-30,6,27.71 USD,166.28 USD
2017-12-01,4,63.39 USD,253.55 USD
2017-12-02,2,21.26 USD,42.52 USD
2017-12-03,3,13.67 USD,41.00 USD
2017-12-04,5,17.54 USD,87.71 USD
2017-12-05,6,25.90 USD,155.38 USD
2017-12-06,6,16.62 USD,99.71 USD
2017-12-07,4,35.63 USD,142.52 USD
2017-12-08,9,29.97 USD,269.73 USD
2017-12-09,7,23.12 USD,161.85 USD
2017-12-10,4,26.09 USD,104.36 USD
2017-12-11,5,40.12 USD,200.61 USD
2017-12-12,3,8.92 USD,26.77 USD
2017-12-13,5,34.39 USD,171.93 USD
2017-12-14,7,35.62 USD,249.33 USD
2017-12-15,5,20.62 USD,103.12 USD
2017-12-16,4,26.29 USD,105.17 USD
2017-12-17,5,21.13 USD,105.63 USD
2017-12-18,8,25.77 USD,206.15 USD
2017-12-19,3,17.14 USD,51.41 USD
2017-12-20,5,27.77 USD,138.83 USD
2017-12-21,4,12.46 USD,49.82 USD
2017-12-22,4,36.36 USD,145.45 USD
2017-12-23,4,19.88 USD,79.50 USD
2017-12-24,2,15.43 USD,30.86 USD
2017-12-25,1,12.34 USD,12.34 USD
2017-12-26,10,31.68 USD,316.81 USD
2017-12-27,3,46.44 USD,139.33 USD
2017-12-28,3,62.38 USD,187.14 USD
2017-12-29,1,38.18 USD,38.18 USD
2017-12-30,1,54.75 USD,54.75 USD
2017-12-31,1,43.02 USD,43.02 USD
2018-01-01,5,28.07 USD,140.35 USD
2018-01-02,3,27.19 USD,81.56 USD
2018-01-03,4,39.95 USD,159.78 USD
2018-01-04,1,15.63 USD,15.63 USD
2018-01-05,4,20.54 USD,82.15 USD
2018-01-06,2,35.76 USD,71.51 USD
2018-01-07,9,32.73 USD,294.56 USD
2018-01-08,7,30.30 USD,212.11 USD
2018-01-09,15,38.21 USD,573.11 USD
2018-01-10,4,36.10 USD,144.40 USD
2018-01-11,4,26.42 USD,105.68 USD
2018-01-12,2,27.58 USD,55.15 USD
2018-01-13,2,18.94 USD,37.88 USD
2018-01-14,6,30.31 USD,181.87 USD
2018-01-15,6,18.15 USD,108.87 USD
2018-01-16,4,19.14 USD,76.56 USD
2018-01-17,7,39.79 USD,278.51 USD
2018-01-18,3,35.74 USD,107.21 USD
2018-01-19,8,30.42 USD,243.38 USD
2018-01-20,5,28.24 USD,141.22 USD
2018-01-21,10,30.16 USD,301.56 USD
2018-01-22,8,18.22 USD,145.77 USD
2018-01-23,7,25.43 USD,178.00 USD
2018-01-24,2,24.68 USD,49.35 USD
2018-01-25,1,24.21 USD,24.21 USD
2018-01-26,1,139.63 USD,139.63 USD
2018-01-27,5,21.19 USD,105.97 USD
2018-01-28,2,8.90 USD,17.80 USD
2018-01-29,4,60.50 USD,241.99 USD
2018-01-30,4,48.90 USD,195.61 USD
2018-01-31,2,14.76 USD,29.52 USD
2018-02-01,7,17.97 USD,125.79 USD
2018-02-02,7,47.80 USD,334.59 USD
2018-02-03,5,17.39 USD,86.94 USD
2018-02-04,2,11.89 USD,23.78 USD
2018-02-05,3,24.61 USD,73.84 USD
2018-02-06,9,22.28 USD,200.50 USD
2018-02-07,3,17.97 USD,53.90 USD
2018-02-08,3,20.67 USD,62.02 USD
2018-02-09,2,31.38 USD,62.75 USD
2018-02-10,8,24.87 USD,198.92 USD
2018-02-11,5,32.61 USD,163.05 USD
2018-02-12,7,36.23 USD,253.61 USD
2018-02-13,4,27.29 USD,109.17 USD
2018-02-14,3,21.73 USD,65.19 USD
2018-02-15,1,3.94 USD,3.94 USD
2018-02-16,2,17.81 USD,35.62 USD
2018-02-17,6,32.76 USD,196.53 USD
2018-02-18,6,44.51 USD,267.04 USD
2018-02-19,4,19.11 USD,76.45 USD
2018-02-20,11,15.20 USD,167.16 USD
2018-02-21,4,42.81 USD,171.24 USD
2018-02-22,3,10.59 USD,31.76 USD
2018-02-23,1,0.78 USD,0.78 USD
2018-02-24,9,14.78 USD,132.99 USD
2018-02-25,4,27.76 USD,111.05 USD
2018-02-26,11,78.16 USD,859.72 USD
2018-02-27,4,50.30 USD,201.20 USD
2018-02-28,4,25.77 USD,103.07 USD
2018-03-01,5,41.13 USD,205.67 USD
2018-03-02,3,34.60 USD,103.80 USD
2018-03-03,6,29.75 USD,178.52 USD
2018-03-04,10,22.87 USD,228.67 USD
2018-03-05,5,47.09 USD,235.43 USD
2018-03-06,0,0.00 USD,0.00 USD
2018-03-07,6,18.69 USD,112.14 USD
2018-03-08,6,32.93 USD,197.58 USD
2018-03-09,0,0.00 USD,0.00 USD
2018-03-10,10,23.74 USD,237.41 USD
2018-03-11,8,21.84 USD,174.71 USD
2018-03-12,8,30.56 USD,244.44 USD
