,row_count,id,title,link,make,model,series,transmission,price,milage,age,age_rating,milage_rating,price_rating,sum_rating,market_price,price_difference
110,78,SSE-AD-5883186,2016 Mercedes-Benz C200 Auto,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2016/SSE-AD-5883186/?Cr=134,Mercedes-Benz,C200,,Auto,52000.0,27000.0,3,0.37389715076324376,0.5184400623620783,-0.5291437618691601,-0.17665401012007997,50156,-1844
77,79,OAG-AD-16909029,2018 Mercedes-Benz C200 Auto,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2018/OAG-AD-16909029/?Cr=104,Mercedes-Benz,C200,,Auto,62900.0,4930.0,1,0.9112343734170072,1.0532603594227594,-1.0795431222799328,-0.22087427457727227,59872,-3028
40,80,SSE-AD-6103720,2018 Mercedes-Benz C200 Auto,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2018/SSE-AD-6103720/?Cr=37,Mercedes-Benz,C200,,Auto,62950.0,7885.0,1,0.9112343734170072,0.9816521139395553,-1.0820678899882392,-0.37166506866859983,58954,-3996
5,81,OAG-AD-17288035,2015 Mercedes-Benz C200 Auto,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2015/OAG-AD-17288035/?gts=OAG-AD-17288035&gtssaleid=OAG-AD-17288035&rankingType=Showcase,Mercedes-Benz,C200,,Auto,33888.0,82917.0,4,0.105228539436362,-0.8365914986140027,0.3854280927877129,-0.4116701794285049,31361,-2527
17,82,OAG-AD-17288035,2015 Mercedes-Benz C200 Auto,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2015/OAG-AD-17288035/?gts=OAG-AD-17288035&gtssaleid=OAG-AD-17288035&rankingType=Showcase,Mercedes-Benz,C200,,Auto,33888.0,82917.0,4,0.105228539436362,-0.8365914986140027,0.3854280927877129,-0.4116701794285049,31361,-2527
22,83,OAG-AD-17247625,2018 Mercedes-Benz C200 Auto,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2018/OAG-AD-17247625/?Cr=4,Mercedes-Benz,C200,,Auto,63990.0,6523.0,1,0.9112343734170072,1.0146573357155702,-1.1345830583210101,-0.4632001301148829,59377,-4613
2,84,OAG-AD-17247625,2018 Mercedes-Benz C200 Auto,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2018/OAG-AD-17247625/?gts=OAG-AD-17247625&gtssaleid=OAG-AD-17247625&rankingType=Showcase,Mercedes-Benz,C200,,Auto,63990.0,6523.0,1,0.9112343734170072,1.0146573357155702,-1.1345830583210101,-0.4632001301148829,59377,-4613
115,85,SSE-AD-6173960,2016 Mercedes-Benz C200 Auto,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2016/SSE-AD-6173960/?Cr=139,Mercedes-Benz,C200,,Auto,48888.0,42700.0,3,0.37389715076324376,0.13798339431256787,-0.3720022197041762,-0.4661427197241491,45281,-3607
98,86,SSE-AD-4726107,2011 Mercedes-Benz C200 BlueEFFICIENCY Avantgarde Auto,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2011/SSE-AD-4726107/?Cr=123,Mercedes-Benz,C200,BlueEFFICIENCY Avantgarde,Auto,19200.0,109000.0,8,-0.969445905871165,-1.4686584586608422,1.1271038547797707,-0.5254512588535372,17536,-1664
49,87,OAG-AD-17074533,2015 Mercedes-Benz C200 Auto,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2015/OAG-AD-17074533/?Cr=78,Mercedes-Benz,C200,,Auto,36800.0,77504.0,4,0.105228539436362,-0.705418763317697,0.23838562145595416,-0.5904521228311697,33042,-3758
76,88,OAG-AD-17075417,2018 Mercedes-Benz C200 Auto,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2018/OAG-AD-17075417/?Cr=103,Mercedes-Benz,C200,,Auto,65888.0,4300.0,1,0.9112343734170072,1.0685270919623258,-1.230423240528317,-0.6429811642432925,60067,-5821
15,89,SSE-AD-6151598,2011 Mercedes-Benz C200 BlueEFFICIENCY Auto,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2011/SSE-AD-6151598/?gts=SSE-AD-6151598&gtssaleid=SSE-AD-6151598&rankingType=Spotlight,Mercedes-Benz,C200,BlueEFFICIENCY,Auto,15980.0,121817.0,8,-0.969445905871165,-1.7792516506602418,1.2896988951946962,-0.6588525216075598,13557,-2423
1,90,SSE-AD-6151598,2011 Mercedes-Benz C200 BlueEFFICIENCY Auto,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2011/SSE-AD-6151598/?gts=SSE-AD-6151598&gtssaleid=SSE-AD-6151598&rankingType=Spotlight,Mercedes-Benz,C200,BlueEFFICIENCY,Auto,15980.0,121817.0,8,-0.969445905871165,-1.7792516506602418,1.2896988951946962,-0.6588525216075598,13557,-2423
9,91,OAG-AD-17092229,2016 Mercedes-Benz C200 Auto,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2016/OAG-AD-17092229/?Cr=3,Mercedes-Benz,C200,,Auto,52800.0,34619.0,3,0.37389715076324376,0.33380953026849736,-0.5695400452020609,-0.6671039243059442,47790,-5010
